content_id,content_type,title_english,maturity_rating,audio_languages,release_year,monetization_model,genre_normalized,synopsis_text,era_bucket,maturity_tags,cast_size,has_imdb_id,has_imdb_rating,director_names,actor_names,producer_names,storyline_tags,overall_tone_tags,tag_low_confidence
35420743-08e0-48ca-b014-0f0eac6d5571,movie,Ranna Baati,U/A 13+,"[""BN""]",2025,SVOD,Drama,"After his wife’s death, Shantanu uncovers her handwritten recipes and embarks on a heartfelt journey to reconnect with his estranged daughter. With Chef Rita’s guidance, the kitchen transforms into a space of laughter, healing, and newfound courage to embrace love and a fresh beginning.",2020s,"[""Smoking"", ""Alcohol"", ""Foul Language""]",8,False,False,"[""Pratim D Gupta""]","[""Ritwick Chakraborty"", ""Sohini Sarkar"", ""Solanki Roy"", ""Anirban Chakrabarti"", ""Barun Chanda"", ""Ida Dasgupta""]","[""Nandy Movies""]","[""family_conflict"", ""reconciliation"", ""self_discovery""]","[""emotional"", ""heartwarming""]",False
d10e7a6c-d9c5-4edd-a669-26d5be208ddb,movie,Lawho Gouranger Naam Rey,U/A 16+,"[""BN""]",2025,SVOD,Drama,"Across three timelines, a 15th-century mystic’s final days, a 19th-century actress portraying him on stage, and a modern filmmaker trying to tell his story—the legend of Chaitanya Mahaprabhu unfolds, blending faith, theatre, and history while exploring the mystery of his disappearance.",2020s,"[""Smoking"", ""Alcohol"", ""Mature themes"", ""Suicide"", ""Foul Language""]",9,False,False,"[""Srijit Mukherji"", ""Bratya Basu""]","[""Dibyojyoti Dutta"", ""Subhashree Ganguly"", ""Jisshu Sengupta"", ""Indraneil Sengupta"", ""Ishaa Saha""]","[""SVF Entertainment Pvt Ltd"", ""Dag Creative Media""]","[""missing_person"", ""ensemble_multiple_storylines"", ""self_discovery""]","[""mysterious"", ""dramatic""]",False
80e6f69f-7705-46f8-a839-ce725474471d,movie,Bhuto Purbo,U/A 16+,"[""BN""]",2025,SVOD,Horror,"Set in the late 1960s, two strangers take refuge in Bibhutibhushan’s ancestral home on a stormy night, exchanging haunting tales of a woman’s spirit tied to her jewels, a conflicted mystic, and a conman’s twisted fate. As dawn breaks, a dark truth binds them forever.",2020s,"[""Violence"", ""Smoking"", ""Alcohol"", ""Frightening Scene""]",9,False,False,"[""Kakoli Ghosh"", ""Avinab Mukherjee""]","[""Satyam Bhattacharya"", ""Amrita Chattopadhyay"", ""Sandipta Sen"", ""Suhotra Mukhopadhyay"", ""Saptarshi Maulik"", ""Rupanjana Mitra"", ""Biswajit Chakraborty""]",[],"[""ghost_haunting"", ""supernatural_threat"", ""deception_disguise"", ""cover_up""]","[""eerie"", ""mysterious"", ""dark""]",False
6b0fd662-447f-4cf5-bba7-34165711e93d,movie,Bhaggyolokkhi,A 18+,"[""BN""]",2025,SVOD,Thriller,"A married couple’s life spirals when they discover a dead body and a suitcase full of cash in their home. As they try to cover it up, they’re pulled into a dangerous web of corrupt cops, ruthless killers, and political power plays. Can they escape before it’s too late?",2020s,"[""Violence"", ""Smoking"", ""Alcohol"", ""Mature themes"", ""Gore""]",8,False,False,"[""Mainak Bhaumik""]","[""Ritwick Chakraborty"", ""Solanki Roy"", ""Loknath Dey"", ""Sujan Mukherjee"", ""Judhajit Sarkar"", ""Swastika Dutta""]","[""Nandy Movies""]","[""cover_up"", ""murder_mystery"", ""life_threat""]","[""tense"", ""suspenseful""]",False
0eee06a2-d330-4408-b00a-efffbbd5446c,movie,The Eken: Kerala-e Kurukshetra (Film),U/A 7+,"[""BN""]",2026,SVOD,Detective,"A few mysterious men from Kochi arrive out of nowhere and whisk away the ever-baffling Eken Babu to Kerala. Kidnapped or invited—who knows! As confusion turns into curiosity, Eken finds himself at the center of a bizarre new mystery. In Cinemas Soon!",2020s,"[""Appropriate for age 7 and above""]",5,False,False,"[""Joydeep Mukherjee""]","[""Anirban Chakrabarti"", ""Suhotra Mukhopadhyay"", ""Somak Ghosh""]","[""hoichoi Studios""]","[""kidnapping"", ""crime_investigation"", ""comedy_of_errors""]","[""comedic"", ""mysterious""]",False
67689ac9-8bd0-4894-b877-70d6acb3b9df,movie,Bonolota Express,U/A 13+,"[""BN""]",2026,SVOD,Comedy,"One train, a hundred untold stories. From a political meltdown and emergency childbirth to secret romances, the Bonolota Express turns a foggy commute into a life-changing collision of drama and comedy. Based on ""Kichukkhan"" by Humayun Ahmed.",2020s,"[""Alcohol"", ""Smoking"", ""Mature themes""]",12,False,False,"[""Tanim Noor""]","[""Chanchal Chowdhury"", ""Mosharraf Karim"", ""Azmeri Haque Badhon"", ""Sariful Razz"", ""Sabila Nur"", ""Zakia Bari Mamo"", ""Intekhab Dinar"", ""Shamima Nazneen"", ""Shamol Mawla""]","[""Buriganga Talkies"", ""hoichoi Studios""]","[""ensemble_multiple_storylines"", ""comedy_of_errors"", ""forbidden_love""]","[""comedic"", ""chaotic""]",False
79e9f538-a9d8-437c-bdf9-5b8d417f76ab,movie,Bibi Payra,U/A 16+,"[""BN""]",2026,SVOD,Comedy,"Two overlooked women, pushed to the brink, hatch a reckless plan to rewrite their lives. With a bunch of misfit allies, their perfect scheme spiralling into a chaotic comedy of errors, can they pull off the ultimate escape? Stream the wild ride of 'Bibi Payra'!",2020s,"[""Violence"", ""Smoking"", ""Foul Language"", ""Alcohol""]",8,False,False,"[""Arjunn Dutta""]","[""Swastika Mukherjee"", ""Paoli Dam"", ""Anirban Chakrabarti"", ""Anindya Sengupta"", ""Subrat Dutta"", ""Loknath Dey""]","[""Nandy Movies""]","[""scam_con"", ""comedy_of_errors"", ""gender_empowerment""]","[""comedic"", ""chaotic"", ""empowering""]",False
7fe739bc-ba1e-4f81-8a77-c84b8ed5e461,movie,Bonolota Express (2026),U/A 13+,"[""BN""]",2026,SVOD,Comedy,"One train, a hundred untold stories. From a political meltdown and emergency childbirth to secret romances, the Bonolota Express turns a foggy commute into a life-changing collision of drama and comedy. Based on ""Kichukkhan"" by Humayun Ahmed.",2020s,"[""Smoking"", ""Alcohol"", ""Mature themes""]",12,False,False,"[""Tanim Noor""]","[""Chanchal Chowdhury"", ""Mosharraf Karim"", ""Azmeri Haque Badhon"", ""Sariful Razz"", ""Sabila Nur"", ""Zakia Bari Mamo"", ""Intekhab Dinar"", ""Shamima Nazneen"", ""Shamol Mawla""]","[""Buriganga Talkies"", ""hoichoi Studios""]","[""ensemble_multiple_storylines"", ""comedy_of_errors"", ""forbidden_love""]","[""comedic"", ""chaotic""]",False
089ba8fa-8b44-4fba-a72a-07253752b3ac,movie,Jamai Bodol,U,"[""BN""]",2026,FREE,Drama,"Jamai Sasthi turns into a hilarious kitchen war zone as Subhash envies his pampered son-in-law, Subhro. As tensions rise, Subhro cooks up a secret plan. Will his secret cooking save the big family dinner, or will it turn into a total disaster?",2020s,"[""Suitable for all ages""]",6,False,False,"[""Sayantan Dhara""]","[""Bhaskar Banerjee"", ""Debojyoti Roy"", ""Soumi Chakraborty"", ""Swati Mukherjee""]","[""hoichoi""]","[""in_law_tension"", ""family_conflict"", ""deception_disguise"", ""comedy_of_errors""]","[""comedic"", ""dramatic""]",False
426b8ae0-3559-48e3-a7f0-e04f6571a8e4,movie,Ekshathe Alada,U/A 13+,"[""BN""]",2026,SVOD,Drama,"When a couple realise their marriage is dead and mutually choose divorce, their families launch a relentless mission to keep them together—forcing them to fight not just for freedom, but for the radical idea that happiness matters more than a “perfect” marriage.",2020s,"[""Alcohol"", ""Foul Language"", ""Smoking""]",9,False,False,"[""Rezaur Rahman""]","[""Parsa Evana"", ""Yash Rohan"", ""Tariq Anam Khan"", ""Rosey Siddique"", ""Deepa Khandakar"", ""Tushar Khan""]","[""Film Noir"", ""House of Chaos""]","[""domestic_conflict"", ""family_conflict"", ""reconciliation""]","[""dramatic"", ""emotional""]",False
