series_id,show_title
37b1adcf-d9d7-4a96-a4c9-2eab5dd48f4d,Table for Everyone
28678218-6054-49ae-b848-acd67c52530d,Shakha Proshakha
8601cf75-011c-49dc-ae32-2d89177299b5,Talaash (Hindi)
a54a3231-1c42-41b0-b1d0-333bd75b859e,Bhootiyapa (Hindi)
16bab5b6-0ba3-42f8-b47e-5dcc4197a87d,Adalat O Ekti Meye
22307bc3-eadc-4d91-9925-0b8be10d1093,Kuheli
c4dd7e1e-052f-4322-b2c5-2b1d2f400005,Queens
572820d6-ca6b-43bb-bfff-73f9992231d8,Roktofolok
bf55775c-c501-47f2-8dd9-8ade8e1e1001,Thakumar Jhuli
a0407d81-ac75-40f7-9b6e-7b3bbcd94900,Raat ka Raag (Hindi)
32309c09-0706-4dfa-a384-3954a6fc7035,Karma is a Killer (Hindi)
479b65aa-7926-4c05-8284-27bae9addb04,Adalat: Insaaf Ki Jung (Hindi)
a5abc0c0-ea6c-4350-b369-ca735740ffce,Apne Paraye (Hindi)
80ef1406-84f7-47b8-a660-f9fa58af72b1,Meyebela
663d8265-4d7d-47c7-9246-1605a57226a1,Shraap (Hindi)
67475b49-dd4e-46d3-9c4d-53d638519214,Office Days
c7b0f06e-b036-4a46-9a46-d81df8c01db2,Jasoos-ni (Hindi)
6fb5ec73-572d-4b57-80c8-99e1b825cb70,Headline
667db0c3-8e08-49a8-b7a4-ecf358f9531d,Atonko
9ac7cc29-f787-4a10-8c3c-61c471e9fe36,Raaz (Hindi)
a61108cb-49ed-4e1d-9788-c35faa85753f,Queens (Hindi)
f93c5116-3f0b-44dc-bef4-811ed4e4ea76,Nikhoj
42c19725-9d73-4bb8-8fd6-d6ef6228958c,Sampurna
28a7f3c2-47c7-4b1a-950b-99b872306d1c,Montu Pilot
f52dafc1-6a9a-4605-a662-f158c7d819a2,Nikosh Chhaya
3b32b889-175f-44a9-8935-77efe651b8bd,Kaalratri
d49bc639-7db6-4ecd-99c7-b4434d5908e9,Dhaka Metro (Hindi)
c3bacc56-0a45-4a93-ba2e-f9ef57750c76,Khoj: A Mission (Hindi)
9ac0e1eb-1800-42c9-8cbd-6c52fb07d70f,Kumudini Bhavan
de3c09bd-e2a0-4483-8f77-77029115ed96,Damroo (Hindi)
dd93233b-0d4d-4d7a-b8bb-d0dc8c542245,Sharey Showlo
4dd79cf6-78d3-4cf6-8755-9354b00a25e2,Shohrat: A Fan Investigates (Hindi)
b798b11e-0af0-431a-87cd-c9f184047ab3,Postmaster (Hindi)
3f98e2d2-697a-4da5-97e2-e3113ec46a7c,Paranoia (Hindi)
24d3d365-4672-4a1c-ae8a-0e53db650fce,Dugdugi
124eca93-3c2f-4d02-8b3d-292187456f6c,Aparna: Ek Kahaani (Hindi)
ddb0caa2-016a-4465-a35a-32df64524d26,Rajneeti (Hindi)
c645e3d3-69a0-4040-8ed7-78ed30ddc17b,Hostel Days (Hindi)
0036224c-3cd3-4359-a9fa-9b99a2d65f49,Mission Huntdown
72e15036-ea0d-4e16-86a7-ad2d3b8499e1,Goalmaal (Hindi)
7f821bd8-736d-4039-af79-ab2456b5d524,Gopon Holeo Parto
804fc8c7-5162-4880-b508-bb3fedf431b2,Bodh
52747f48-1359-44cb-a987-8669fd6cdc55,Kaiser (Hindi)
5897931c-b645-4d46-836f-05f521543f7b,Feludar Goyendagiri
a399334e-3750-4f57-ab6d-4ff7a14eec07,Mandaar (Hindi)
1080bcf1-7fce-4d25-b3a6-b778b0f17f10,Biwi Ho To Aisi (Hindi)
cece996f-72db-457c-98ed-c7d7cff7a531,Monty Pilot (Hindi)
f0a90e07-7321-46d7-95a1-ee5e86bf97de,Mismatch (Hindi)
ca6e0fc6-f4b9-4a74-a63b-045c35d45d1d,Eken Babu
a650432a-336d-4db5-95f2-1ac7a86d4e95,Anjaan Saaye (Hindi)
14431c0e-204c-4123-b218-dc5d401a8859,Ashubh Vivaah (Hindi)
75c9d0b7-05b8-4978-b0da-c341c7499f2a,Sunrise Bhojonbilashi
b4050a70-0699-4927-af88-648c7c22d1e8,Bhalobashar Bari
